word, synset, definition
pueblo, pueblo.n.01, a member of any of about two dozen Native American peoples called `Pueblos' by the Spanish because they live in pueblos (villages built of adobe and rock)
strawberry, strawberry.n.01, sweet fleshy red fruit
spot, position.n.06, a job in an organization
duck, duck.n.01, small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs
fire, fire.n.09, intense adverse criticism
scarf, scarf.n.01, a garment worn around the head or neck or shoulders for warmth or decoration
polaroid, polaroid.n.01, (trade mark) a plastic film that can polarize a beam of light; often used in sunglasses to eliminate glare
powder, gunpowder.n.01, a mixture of potassium nitrate, charcoal, and sulfur in a 75:15:10 ratio which is used in gunnery, time fuses, and fireworks
nursery, greenhouse.n.01, a building with glass walls and roof; for the cultivation and exhibition of plants under controlled conditions
jewel, jewel.n.01, a precious or semiprecious stone incorporated into a piece of jewelry
segment, section.n.04, one of several parts or pieces that fit with others to constitute a whole object
backpack, backpack.n.01, a bag carried by a strap on your back or shoulder
vase, vase.n.01, an open jar of glass or porcelain used as an ornament or to hold flowers
bose, bose.n.01, Indian physicist who with Albert Einstein proposed statistical laws based on the indistinguishability of particles; led to the description of fundamental particles that later came to be known as bosons
vegetation, vegetation.n.01, all the plant life in a particular region or period
ears, ear.n.05, fruiting spike of a cereal plant especially corn
helm, helm.n.01, steering mechanism for a vessel; a mechanical device by which a vessel is steered
closet, wardrobe.n.01, a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes
jigsaw, jigsaw.n.02, fine-toothed power saw with a narrow blade; used to cut curved outlines
orange, orange.n.01, round yellow to orange fruit of any of several citrus trees
acoustic, acoustic.n.01, a remedy for hearing loss or deafness
shrimp, runt.n.01, disparaging terms for small people
dam, dam.n.01, a barrier constructed to contain the flow of water or to keep out the sea
trunk, torso.n.01, the body excluding the head and neck and limbs
denim, denim.n.02, a coarse durable twill-weave cotton fabric
restoration, restitution.n.03, getting something back again
dwelling, dwelling.n.01, housing that someone is living in
wine, wine.n.02, a red as dark as red wine
appliance, appliance.n.01, a device or control that is very useful for a particular job
sweatshirt, sweatshirt.n.01, cotton knit pullover with long sleeves worn during athletic activity
bag, base.n.03, a place that the runner must touch before scoring
sweater, sweater.n.01, a crocheted or knitted garment covering the upper part of the body
stripe, stripe.n.05, a narrow marking of a different color or texture from the background
seed, semen.n.01, the thick white fluid containing spermatozoa that is ejaculated by the male genital tract
glacier, glacier.n.01, a slowly moving mass of ice
walnut, walnut.n.01, nut of any of various walnut trees having a wrinkled two-lobed seed with a hard shell
farm, farm.n.01, workplace consisting of farm buildings and cultivated land as a unit
peck, batch.n.02, (often followed by `of') a large number or amount or extent
cock, cock.n.01, obscene terms for penis
bovine, bovine.n.01, any of various members of the genus Bos
display, display.n.01, something intended to communicate a particular impression
exterior, outside.n.01, the region that is outside of something
rowing, rowing.n.01, the act of rowing as a sport
pallet, palette.n.01, the range of colour characteristic of a particular artist or painting or school of art
sailor, boater.n.01, a stiff hat made of straw with a flat crown
photograph, photograph.n.01, a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material
landscaping, landscaping.n.01, working as a landscape gardener
tape, tape.n.02, a recording made on magnetic tape
patrol, patrol.n.01, a detachment used for security or reconnaissance
battalion, battalion.n.02, a large indefinite number
flexibility, tractability.n.01, the trait of being easily persuaded
dolphin, dolphinfish.n.02, large slender food and game fish widely distributed in warm seas (especially around Hawaii)
snow, coke.n.03, street names for cocaine
rail, track.n.09, a bar or pair of parallel bars of rolled steel making the railway along which railroad cars or other vehicles can roll
scientist, scientist.n.01, a person with advanced knowledge of one or more sciences
ignition, ignition.n.03, the act of setting something on fire
monarch, sovereign.n.01, a nation's ruler or head of state usually by hereditary right
saloon, barroom.n.01, a room or establishment where alcoholic drinks are served over a counter
coastline, coastline.n.01, the outline of a coast
specimen, specimen.n.01, an example regarded as typical of its class
column, column.n.04, anything that approximates the shape of a column or tower
graduation, commencement.n.02, an academic exercise in which diplomas are conferred
monitor, admonisher.n.01, someone who gives a warning so that a mistake can be avoided
cabin, cabin.n.01, small room on a ship or boat where people sleep
reader, reviewer.n.01, someone who reads manuscripts and judges their suitability for publication
recipe, recipe.n.01, directions for making something
bull, bullshit.n.01, obscene words for unacceptable behavior
towel, towel.n.01, a rectangular piece of absorbent cloth (or paper) for drying or wiping
beach, beach.n.01, an area of sand sloping down to the water of a sea or lake
tomb, grave.n.02, a place for the burial of a corpse (especially beneath the ground and marked by a tombstone)
dish, smasher.n.02, a very attractive or seductive looking woman
dive, dive.n.02, a headlong plunge into water
layup, lay-up.n.01, a basketball shot made with one hand from a position under or beside the basket (and usually banked off the backboard)
afghan, pashto.n.01, an Iranian language spoken in Afghanistan and Pakistan; the official language of Afghanistan
underwood, underbrush.n.01, the brush (small trees and bushes and ferns etc.) growing beneath taller trees in a wood or forest
jay, jay.n.01, United States diplomat and jurist who negotiated peace treaties with Britain and served as the first chief justice of the United States Supreme Court (1745-1829)
teak, teak.n.01, hard strong durable yellowish-brown wood of teak trees; resistant to insects and to warping; used for furniture and in shipbuilding
charm, appeal.n.02, attractiveness that interests or pleases or stimulates
entrance, entrance.n.03, the act of entering
cannon, cannon.n.05, lower part of the leg extending from the hock to the fetlock in hoofed mammals
sulfur, sulfur.n.01, an abundant tasteless odorless multivalent nonmetallic element; best known in yellow crystals; occurs in many sulphide and sulphate minerals and even in native form (especially in volcanic regions)
tea, tea.n.02, a light midafternoon meal of tea and sandwiches or cakes
green, park.n.02, a piece of open land for recreational use in an urban area
vehicle, vehicle.n.01, a conveyance that transports people or objects
temple, synagogue.n.01, (Judaism) the place of worship for a Jewish congregation
